Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sun Oct 21 2018,9:00p,Houston Rockets,112,Los Angeles Clippers,115,Box Score,,16149,
Mon Oct 22 2018,7:30p,Orlando Magic,93,Boston Celtics,90,Box Score,,18624,
Mon Oct 22 2018,7:30p,Charlotte Hornets,106,Toronto Raptors,127,Box Score,,19800,
Mon Oct 22 2018,8:00p,New York Knicks,113,Milwaukee Bucks,124,Box Score,,16228,
Mon Oct 22 2018,8:00p,Indiana Pacers,91,Minnesota Timberwolves,101,Box Score,,10371,
Mon Oct 22 2018,8:30p,Chicago Bulls,109,Dallas Mavericks,115,Box Score,,19291,
Mon Oct 22 2018,9:00p,Memphis Grizzlies,92,Utah Jazz,84,Box Score,,18306,
Mon Oct 22 2018,10:00p,Washington Wizards,125,Portland Trail Blazers,124,Box Score,OT,19187,
Mon Oct 22 2018,10:30p,Phoenix Suns,103,Golden State Warriors,123,Box Score,,19596,
Mon Oct 22 2018,10:30p,San Antonio Spurs,143,Los Angeles Lakers,142,Box Score,OT,18997,
Tue Oct 23 2018,7:00p,Philadelphia 76ers,132,Detroit Pistons,133,Box Score,OT,14418,
Tue Oct 23 2018,8:00p,Los Angeles Clippers,109,New Orleans Pelicans,116,Box Score,,14625,
Tue Oct 23 2018,9:00p,Sacramento Kings,112,Denver Nuggets,126,Box Score,,13214,
Wed Oct 24 2018,7:00p,Dallas Mavericks,104,Atlanta Hawks,111,Box Score,,16705,
Wed Oct 24 2018,7:00p,Brooklyn Nets,102,Cleveland Cavaliers,86,Box Score,,19432,
Wed Oct 24 2018,7:30p,New York Knicks,87,Miami Heat,110,Box Score,,19600,
Wed Oct 24 2018,7:30p,Minnesota Timberwolves,105,Toronto Raptors,112,Box Score,,19800,
Wed Oct 24 2018,8:00p,Charlotte Hornets,110,Chicago Bulls,112,Box Score,,19170,
Wed Oct 24 2018,8:00p,Utah Jazz,100,Houston Rockets,89,Box Score,,18055,
Wed Oct 24 2018,8:30p,Indiana Pacers,116,San Antonio Spurs,96,Box Score,,18354,
Wed Oct 24 2018,9:30p,Philadelphia 76ers,108,Milwaukee Bucks,123,Box Score,,17341,
Wed Oct 24 2018,10:00p,Los Angeles Lakers,131,Phoenix Suns,113,Box Score,,18055,
Wed Oct 24 2018,10:00p,Memphis Grizzlies,92,Sacramento Kings,97,Box Score,,14198,
Wed Oct 24 2018,10:30p,Washington Wizards,122,Golden State Warriors,144,Box Score,,19596,
Thu Oct 25 2018,7:00p,Cleveland Cavaliers,103,Detroit Pistons,110,Box Score,,15896,
Thu Oct 25 2018,7:00p,Portland Trail Blazers,128,Orlando Magic,114,Box Score,,15114,
Thu Oct 25 2018,8:00p,Boston Celtics,101,Oklahoma City Thunder,95,Box Score,,18203,
Thu Oct 25 2018,10:30p,Denver Nuggets,114,Los Angeles Lakers,121,Box Score,,18997,
Fri Oct 26 2018,7:00p,Chicago Bulls,106,Charlotte Hornets,135,Box Score,,15220,
Fri Oct 26 2018,7:30p,Golden State Warriors,128,New York Knicks,100,Box Score,,19812,
Fri Oct 26 2018,7:30p,Dallas Mavericks,107,Toronto Raptors,116,Box Score,,19800,
Fri Oct 26 2018,8:00p,Los Angeles Clippers,133,Houston Rockets,113,Box Score,,18055,
Fri Oct 26 2018,8:00p,Milwaukee Bucks,125,Minnesota Timberwolves,95,Box Score,,16334,
Fri Oct 26 2018,8:00p,Brooklyn Nets,115,New Orleans Pelicans,117,Box Score,,15272,
Fri Oct 26 2018,10:00p,Washington Wizards,112,Sacramento Kings,116,Box Score,,14101,
Sat Oct 27 2018,7:00p,Boston Celtics,109,Detroit Pistons,89,Box Score,,18120,
Sat Oct 27 2018,7:00p,Utah Jazz,132,New Orleans Pelicans,111,Box Score,,16373,
Sat Oct 27 2018,7:30p,Chicago Bulls,97,Atlanta Hawks,85,Box Score,,15549,
Sat Oct 27 2018,7:30p,Indiana Pacers,119,Cleveland Cavaliers,107,Box Score,,19432,
Sat Oct 27 2018,7:30p,Charlotte Hornets,103,Philadelphia 76ers,105,Box Score,,20203,
Sat Oct 27 2018,8:00p,Phoenix Suns,96,Memphis Grizzlies,117,Box Score,,15926,
Sat Oct 27 2018,8:00p,Portland Trail Blazers,111,Miami Heat,120,Box Score,,19600,
Sat Oct 27 2018,8:30p,Orlando Magic,91,Milwaukee Bucks,113,Box Score,,17341,
Sat Oct 27 2018,8:30p,Los Angeles Lakers,106,San Antonio Spurs,110,Box Score,,18589,
Sun Oct 28 2018,5:00p,Golden State Warriors,120,Brooklyn Nets,114,Box Score,,17732,
Sun Oct 28 2018,7:00p,Utah Jazz,113,Dallas Mavericks,104,Box Score,,19571,
Sun Oct 28 2018,7:00p,Phoenix Suns,110,Oklahoma City Thunder,117,Box Score,,18203,
Sun Oct 28 2018,9:30p,Washington Wizards,104,Los Angeles Clippers,136,Box Score,,16491,
Mon Oct 29 2018,7:00p,Portland Trail Blazers,103,Indiana Pacers,93,Box Score,,15788,
Mon Oct 29 2018,7:00p,Atlanta Hawks,92,Philadelphia 76ers,113,Box Score,,20269,
Mon Oct 29 2018,7:30p,Sacramento Kings,123,Miami Heat,113,Box Score,,19600,
Mon Oct 29 2018,7:30p,Brooklyn Nets,96,New York Knicks,115,Box Score,,19221,
Mon Oct 29 2018,8:00p,Golden State Warriors,149,Chicago Bulls,124,Box Score,,21076,
Mon Oct 29 2018,8:00p,Toronto Raptors,109,Milwaukee Bucks,124,Box Score,,17341,
Mon Oct 29 2018,8:00p,Los Angeles Lakers,120,Minnesota Timberwolves,124,Box Score,,18978,
Mon Oct 29 2018,8:30p,Dallas Mavericks,108,San Antonio Spurs,113,Box Score,OT,18354,
Mon Oct 29 2018,9:00p,New Orleans Pelicans,111,Denver Nuggets,116,Box Score,,15217,
Tue Oct 30 2018,7:00p,Miami Heat,113,Charlotte Hornets,125,Box Score,,14117,
Tue Oct 30 2018,7:00p,Atlanta Hawks,114,Cleveland Cavaliers,136,Box Score,,19432,
Tue Oct 30 2018,7:00p,Sacramento Kings,107,Orlando Magic,99,Box Score,,15074,
Tue Oct 30 2018,7:30p,Detroit Pistons,105,Boston Celtics,108,Box Score,,18624,
Tue Oct 30 2018,7:30p,Philadelphia 76ers,112,Toronto Raptors,129,Box Score,,19800,
Tue Oct 30 2018,8:00p,Portland Trail Blazers,104,Houston Rockets,85,Box Score,,18055,
Tue Oct 30 2018,8:00p,Washington Wizards,95,Memphis Grizzlies,107,Box Score,,14106,
Tue Oct 30 2018,8:00p,Los Angeles Clippers,110,Oklahoma City Thunder,128,Box Score,,18203,
Wed Oct 31 2018,7:30p,Detroit Pistons,119,Brooklyn Nets,120,Box Score,OT,12862,
Wed Oct 31 2018,8:00p,Denver Nuggets,108,Chicago Bulls,107,Box Score,OT,19027,
Wed Oct 31 2018,8:00p,Utah Jazz,125,Minnesota Timberwolves,128,Box Score,,10079,
Wed Oct 31 2018,8:00p,Indiana Pacers,107,New York Knicks,101,Box Score,,18295,
Wed Oct 31 2018,10:30p,New Orleans Pelicans,121,Golden State Warriors,131,Box Score,,19596,
Wed Oct 31 2018,10:30p,Dallas Mavericks,113,Los Angeles Lakers,114,Box Score,,18997,
Wed Oct 31 2018,10:30p,San Antonio Spurs,120,Phoenix Suns,90,Box Score,,12328,
Tue Oct 22 2019,8:00p,New Orleans Pelicans,122,Toronto Raptors,130,Box Score,OT,20787,
Tue Oct 22 2019,10:30p,Los Angeles Lakers,102,Los Angeles Clippers,112,Box Score,,19068,
Wed Oct 23 2019,7:00p,Chicago Bulls,125,Charlotte Hornets,126,Box Score,,15424,
Wed Oct 23 2019,7:00p,Detroit Pistons,119,Indiana Pacers,110,Box Score,,17923,
Wed Oct 23 2019,7:00p,Cleveland Cavaliers,85,Orlando Magic,94,Box Score,,18846,
Wed Oct 23 2019,7:30p,Minnesota Timberwolves,127,Brooklyn Nets,126,Box Score,OT,17732,
Wed Oct 23 2019,7:30p,Memphis Grizzlies,101,Miami Heat,120,Box Score,,19600,
Wed Oct 23 2019,7:30p,Boston Celtics,93,Philadelphia 76ers,107,Box Score,,20422,
Wed Oct 23 2019,8:30p,Washington Wizards,100,Dallas Mavericks,108,Box Score,,19816,
Wed Oct 23 2019,8:30p,New York Knicks,111,San Antonio Spurs,120,Box Score,,18354,
Wed Oct 23 2019,9:00p,Oklahoma City Thunder,95,Utah Jazz,100,Box Score,,18306,
Wed Oct 23 2019,10:00p,Denver Nuggets,108,Portland Trail Blazers,100,Box Score,,19991,
Wed Oct 23 2019,10:00p,Sacramento Kings,95,Phoenix Suns,124,Box Score,,18055,
Thu Oct 24 2019,7:00p,Atlanta Hawks,117,Detroit Pistons,100,Box Score,,20338,
Thu Oct 24 2019,8:00p,Milwaukee Bucks,117,Houston Rockets,111,Box Score,,18055,
Thu Oct 24 2019,10:30p,Los Angeles Clippers,141,Golden State Warriors,122,Box Score,,18064,
Fri Oct 25 2019,7:00p,Toronto Raptors,106,Boston Celtics,112,Box Score,,18624,
Fri Oct 25 2019,7:00p,Minnesota Timberwolves,121,Charlotte Hornets,99,Box Score,,14879,
Fri Oct 25 2019,7:30p,New York Knicks,109,Brooklyn Nets,113,Box Score,,17732,
Fri Oct 25 2019,8:00p,Chicago Bulls,110,Memphis Grizzlies,102,Box Score,,17794,
Fri Oct 25 2019,8:00p,Dallas Mavericks,123,New Orleans Pelicans,116,Box Score,,17027,
Fri Oct 25 2019,8:00p,Washington Wizards,97,Oklahoma City Thunder,85,Box Score,,18203,
Fri Oct 25 2019,9:00p,Phoenix Suns,107,Denver Nuggets,108,Box Score,OT,19557,
Fri Oct 25 2019,10:00p,Portland Trail Blazers,122,Sacramento Kings,112,Box Score,,17583,
Fri Oct 25 2019,10:30p,Utah Jazz,86,Los Angeles Lakers,95,Box Score,,18997,
Sat Oct 26 2019,5:00p,Miami Heat,131,Milwaukee Bucks,126,Box Score,OT,17467,
Sat Oct 26 2019,7:00p,Philadelphia 76ers,117,Detroit Pistons,111,Box Score,,16207,
Sat Oct 26 2019,7:30p,Orlando Magic,99,Atlanta Hawks,103,Box Score,,17078,
Sat Oct 26 2019,7:30p,Boston Celtics,118,New York Knicks,95,Box Score,,19812,
Sat Oct 26 2019,8:00p,Toronto Raptors,108,Chicago Bulls,84,Box Score,,21498,
Sat Oct 26 2019,8:00p,Indiana Pacers,99,Cleveland Cavaliers,110,Box Score,,19432,
Sat Oct 26 2019,8:00p,New Orleans Pelicans,123,Houston Rockets,126,Box Score,,18055,
Sat Oct 26 2019,8:30p,Washington Wizards,122,San Antonio Spurs,124,Box Score,,18354,
Sat Oct 26 2019,9:00p,Sacramento Kings,81,Utah Jazz,113,Box Score,,18306,
Sat Oct 26 2019,10:00p,Los Angeles Clippers,122,Phoenix Suns,130,Box Score,,15802,
Sun Oct 27 2019,3:30p,Golden State Warriors,92,Oklahoma City Thunder,120,Box Score,,18203,
Sun Oct 27 2019,6:00p,Brooklyn Nets,133,Memphis Grizzlies,134,Box Score,OT,15517,
Sun Oct 27 2019,7:00p,Portland Trail Blazers,121,Dallas Mavericks,119,Box Score,,19707,
Sun Oct 27 2019,7:00p,Miami Heat,109,Minnesota Timberwolves,116,Box Score,,17049,
Sun Oct 27 2019,9:30p,Charlotte Hornets,101,Los Angeles Lakers,120,Box Score,,18997,
Mon Oct 28 2019,7:00p,Indiana Pacers,94,Detroit Pistons,96,Box Score,,13565,
Mon Oct 28 2019,7:00p,Chicago Bulls,98,New York Knicks,105,Box Score,,19812,
Mon Oct 28 2019,7:30p,Philadelphia 76ers,105,Atlanta Hawks,103,Box Score,,14094,
Mon Oct 28 2019,7:30p,Orlando Magic,95,Toronto Raptors,104,Box Score,,19800,
Mon Oct 28 2019,8:00p,Cleveland Cavaliers,112,Milwaukee Bucks,129,Box Score,,17385,
Mon Oct 28 2019,8:00p,Golden State Warriors,134,New Orleans Pelicans,123,Box Score,,17307,
Mon Oct 28 2019,8:00p,Oklahoma City Thunder,112,Houston Rockets,116,Box Score,,18055,
Mon Oct 28 2019,8:30p,Portland Trail Blazers,110,San Antonio Spurs,113,Box Score,,18083,
Mon Oct 28 2019,10:00p,Utah Jazz,96,Phoenix Suns,95,Box Score,,14805,
Mon Oct 28 2019,10:00p,Denver Nuggets,101,Sacramento Kings,94,Box Score,,15870,
Mon Oct 28 2019,10:30p,Charlotte Hornets,96,Los Angeles Clippers,111,Box Score,,19068,
Tue Oct 29 2019,7:30p,Atlanta Hawks,97,Miami Heat,112,Box Score,,19600,
Tue Oct 29 2019,9:00p,Dallas Mavericks,109,Denver Nuggets,106,Box Score,,16605,
Tue Oct 29 2019,10:30p,Memphis Grizzlies,91,Los Angeles Lakers,120,Box Score,,18997,
Wed Oct 30 2019,7:00p,Minnesota Timberwolves,95,Philadelphia 76ers,117,Box Score,,20204,
Wed Oct 30 2019,7:00p,New York Knicks,83,Orlando Magic,95,Box Score,,17456,
Wed Oct 30 2019,7:00p,Chicago Bulls,111,Cleveland Cavaliers,117,Box Score,,17595,
Wed Oct 30 2019,7:30p,Indiana Pacers,118,Brooklyn Nets,108,Box Score,,17083,
Wed Oct 30 2019,7:30p,Milwaukee Bucks,105,Boston Celtics,116,Box Score,,18624,
Wed Oct 30 2019,7:30p,Detroit Pistons,113,Toronto Raptors,125,Box Score,,19800,
Wed Oct 30 2019,8:00p,Portland Trail Blazers,102,Oklahoma City Thunder,99,Box Score,,18203,
Wed Oct 30 2019,8:00p,Houston Rockets,159,Washington Wizards,158,Box Score,,20476,
Wed Oct 30 2019,10:00p,Charlotte Hornets,118,Sacramento Kings,111,Box Score,,15416,
Wed Oct 30 2019,10:00p,Los Angeles Clippers,96,Utah Jazz,110,Box Score,,18306,
Wed Oct 30 2019,10:30p,Phoenix Suns,121,Golden State Warriors,110,Box Score,,18064,
Thu Oct 31 2019,7:00p,Miami Heat,106,Atlanta Hawks,97,Box Score,,16539,
Thu Oct 31 2019,9:30p,Denver Nuggets,107,New Orleans Pelicans,122,Box Score,,16613,
Thu Oct 31 2019,10:30p,San Antonio Spurs,97,Los Angeles Clippers,103,Box Score,,19068,
Fri Oct 2 2020,9:00p,Miami Heat,114,Los Angeles Lakers,124,Box Score,,,
Sun Oct 4 2020,7:30p,Los Angeles Lakers,104,Miami Heat,115,Box Score,,,
Tue Oct 6 2020,9:00p,Los Angeles Lakers,102,Miami Heat,96,Box Score,,,
Fri Oct 9 2020,9:00p,Miami Heat,111,Los Angeles Lakers,108,Box Score,,,
Sun Oct 11 2020,7:30p,Los Angeles Lakers,106,Miami Heat,93,Box Score,,,
